t,s,h,p_you,p_opp,WinProb,BestAction
0,-32,0,0,0,0.0,TERM
0,-32,0,0,1,0.0,TERM
0,-32,0,1,0,0.0,TERM
0,-32,0,1,1,0.0,TERM
0,-32,1,0,0,0.0,TERM
0,-32,1,0,1,0.0,TERM
0,-32,1,1,0,0.0,TERM
0,-32,1,1,1,0.0,TERM
0,-31,0,0,0,0.0,TERM
0,-31,0,0,1,0.0,TERM
0,-31,0,1,0,0.0,TERM
0,-31,0,1,1,0.0,TERM
0,-31,1,0,0,0.0,TERM
0,-31,1,0,1,0.0,TERM
0,-31,1,1,0,0.0,TERM
0,-31,1,1,1,0.0,TERM
0,-30,0,0,0,0.0,TERM
0,-30,0,0,1,0.0,TERM
0,-30,0,1,0,0.0,TERM
0,-30,0,1,1,0.0,TERM
0,-30,1,0,0,0.0,TERM
0,-30,1,0,1,0.0,TERM
0,-30,1,1,0,0.0,TERM
0,-30,1,1,1,0.0,TERM
0,-29,0,0,0,0.0,TERM
0,-29,0,0,1,0.0,TERM
0,-29,0,1,0,0.0,TERM
0,-29,0,1,1,0.0,TERM
0,-29,1,0,0,0.0,TERM
0,-29,1,0,1,0.0,TERM
0,-29,1,1,0,0.0,TERM
0,-29,1,1,1,0.0,TERM
0,-28,0,0,0,0.0,TERM
0,-28,0,0,1,0.0,TERM
0,-28,0,1,0,0.0,TERM
0,-28,0,1,1,0.0,TERM
0,-28,1,0,0,0.0,TERM
0,-28,1,0,1,0.0,TERM
0,-28,1,1,0,0.0,TERM
0,-28,1,1,1,0.0,TERM
0,-27,0,0,0,0.0,TERM
0,-27,0,0,1,0.0,TERM
0,-27,0,1,0,0.0,TERM
0,-27,0,1,1,0.0,TERM
0,-27,1,0,0,0.0,TERM
0,-27,1,0,1,0.0,TERM
0,-27,1,1,0,0.0,TERM
0,-27,1,1,1,0.0,TERM
0,-26,0,0,0,0.0,TERM
0,-26,0,0,1,0.0,TERM
0,-26,0,1,0,0.0,TERM
0,-26,0,1,1,0.0,TERM
0,-26,1,0,0,0.0,TERM
0,-26,1,0,1,0.0,TERM
0,-26,1,1,0,0.0,TERM
0,-26,1,1,1,0.0,TERM
0,-25,0,0,0,0.0,TERM
0,-25,0,0,1,0.0,TERM
0,-25,0,1,0,0.0,TERM
0,-25,0,1,1,0.0,TERM
0,-25,1,0,0,0.0,TERM
0,-25,1,0,1,0.0,TERM
0,-25,1,1,0,0.0,TERM
0,-25,1,1,1,0.0,TERM
0,-24,0,0,0,0.0,TERM
0,-24,0,0,1,0.0,TERM
0,-24,0,1,0,0.0,TERM
0,-24,0,1,1,0.0,TERM
0,-24,1,0,0,0.0,TERM
0,-24,1,0,1,0.0,TERM
0,-24,1,1,0,0.0,TERM
0,-24,1,1,1,0.0,TERM
0,-23,0,0,0,0.0,TERM
0,-23,0,0,1,0.0,TERM
0,-23,0,1,0,0.0,TERM
0,-23,0,1,1,0.0,TERM
0,-23,1,0,0,0.0,TERM
0,-23,1,0,1,0.0,TERM
0,-23,1,1,0,0.0,TERM
0,-23,1,1,1,0.0,TERM
0,-22,0,0,0,0.0,TERM
0,-22,0,0,1,0.0,TERM
0,-22,0,1,0,0.0,TERM
0,-22,0,1,1,0.0,TERM
0,-22,1,0,0,0.0,TERM
0,-22,1,0,1,0.0,TERM
0,-22,1,1,0,0.0,TERM
0,-22,1,1,1,0.0,TERM
0,-21,0,0,0,0.0,TERM
0,-21,0,0,1,0.0,TERM
0,-21,0,1,0,0.0,TERM
0,-21,0,1,1,0.0,TERM
0,-21,1,0,0,0.0,TERM
0,-21,1,0,1,0.0,TERM
0,-21,1,1,0,0.0,TERM
0,-21,1,1,1,0.0,TERM
0,-20,0,0,0,0.0,TERM
0,-20,0,0,1,0.0,TERM
0,-20,0,1,0,0.0,TERM
0,-20,0,1,1,0.0,TERM
0,-20,1,0,0,0.0,TERM
0,-20,1,0,1,0.0,TERM
0,-20,1,1,0,0.0,TERM
0,-20,1,1,1,0.0,TERM
0,-19,0,0,0,0.0,TERM
0,-19,0,0,1,0.0,TERM
0,-19,0,1,0,0.0,TERM
0,-19,0,1,1,0.0,TERM
0,-19,1,0,0,0.0,TERM
0,-19,1,0,1,0.0,TERM
0,-19,1,1,0,0.0,TERM
0,-19,1,1,1,0.0,TERM
0,-18,0,0,0,0.0,TERM
0,-18,0,0,1,0.0,TERM
0,-18,0,1,0,0.0,TERM
0,-18,0,1,1,0.0,TERM
0,-18,1,0,0,0.0,TERM
0,-18,1,0,1,0.0,TERM
0,-18,1,1,0,0.0,TERM
0,-18,1,1,1,0.0,TERM
0,-17,0,0,0,0.0,TERM
0,-17,0,0,1,0.0,TERM
0,-17,0,1,0,0.0,TERM
0,-17,0,1,1,0.0,TERM
0,-17,1,0,0,0.0,TERM
0,-17,1,0,1,0.0,TERM
0,-17,1,1,0,0.0,TERM
0,-17,1,1,1,0.0,TERM
0,-16,0,0,0,0.0,TERM
0,-16,0,0,1,0.0,TERM
0,-16,0,1,0,0.0,TERM
0,-16,0,1,1,0.0,TERM
0,-16,1,0,0,0.0,TERM
0,-16,1,0,1,0.0,TERM
0,-16,1,1,0,0.0,TERM
0,-16,1,1,1,0.0,TERM
0,-15,0,0,0,0.0,TERM
0,-15,0,0,1,0.0,TERM
0,-15,0,1,0,0.0,TERM
0,-15,0,1,1,0.0,TERM
0,-15,1,0,0,0.0,TERM
0,-15,1,0,1,0.0,TERM
0,-15,1,1,0,0.0,TERM
0,-15,1,1,1,0.0,TERM
0,-14,0,0,0,0.0,TERM
0,-14,0,0,1,0.0,TERM
0,-14,0,1,0,0.0,TERM
0,-14,0,1,1,0.0,TERM
0,-14,1,0,0,0.0,TERM
0,-14,1,0,1,0.0,TERM
0,-14,1,1,0,0.0,TERM
0,-14,1,1,1,0.0,TERM
0,-13,0,0,0,0.0,TERM
0,-13,0,0,1,0.0,TERM
0,-13,0,1,0,0.0,TERM
0,-13,0,1,1,0.0,TERM
0,-13,1,0,0,0.0,TERM
0,-13,1,0,1,0.0,TERM
0,-13,1,1,0,0.0,TERM
0,-13,1,1,1,0.0,TERM
0,-12,0,0,0,0.0,TERM
0,-12,0,0,1,0.0,TERM
0,-12,0,1,0,0.0,TERM
0,-12,0,1,1,0.0,TERM
0,-12,1,0,0,0.0,TERM
0,-12,1,0,1,0.0,TERM
0,-12,1,1,0,0.0,TERM
0,-12,1,1,1,0.0,TERM
0,-11,0,0,0,0.0,TERM
0,-11,0,0,1,0.0,TERM
0,-11,0,1,0,0.0,TERM
0,-11,0,1,1,0.0,TERM
0,-11,1,0,0,0.0,TERM
0,-11,1,0,1,0.0,TERM
0,-11,1,1,0,0.0,TERM
0,-11,1,1,1,0.0,TERM
0,-10,0,0,0,0.0,TERM
0,-10,0,0,1,0.0,TERM
0,-10,0,1,0,0.0,TERM
0,-10,0,1,1,0.0,TERM
0,-10,1,0,0,0.0,TERM
0,-10,1,0,1,0.0,TERM
0,-10,1,1,0,0.0,TERM
0,-10,1,1,1,0.0,TERM
0,-9,0,0,0,0.0,TERM
0,-9,0,0,1,0.0,TERM
0,-9,0,1,0,0.0,TERM
0,-9,0,1,1,0.0,TERM
0,-9,1,0,0,0.0,TERM
0,-9,1,0,1,0.0,TERM
0,-9,1,1,0,0.0,TERM
0,-9,1,1,1,0.0,TERM
0,-8,0,0,0,0.0,TERM
0,-8,0,0,1,0.0,TERM
0,-8,0,1,0,0.0,TERM
0,-8,0,1,1,0.0,TERM
0,-8,1,0,0,0.0,TERM
0,-8,1,0,1,0.0,TERM
0,-8,1,1,0,0.0,TERM
0,-8,1,1,1,0.0,TERM
0,-7,0,0,0,0.0,TERM
0,-7,0,0,1,0.0,TERM
0,-7,0,1,0,0.0,TERM
0,-7,0,1,1,0.0,TERM
0,-7,1,0,0,0.0,TERM
0,-7,1,0,1,0.0,TERM
0,-7,1,1,0,0.0,TERM
0,-7,1,1,1,0.0,TERM
0,-6,0,0,0,0.0,TERM
0,-6,0,0,1,0.0,TERM
0,-6,0,1,0,0.0,TERM
0,-6,0,1,1,0.0,TERM
0,-6,1,0,0,0.0,TERM
0,-6,1,0,1,0.0,TERM
0,-6,1,1,0,0.0,TERM
0,-6,1,1,1,0.0,TERM
0,-5,0,0,0,0.0,TERM
0,-5,0,0,1,0.0,TERM
0,-5,0,1,0,0.0,TERM
0,-5,0,1,1,0.0,TERM
0,-5,1,0,0,0.0,TERM
0,-5,1,0,1,0.0,TERM
0,-5,1,1,0,0.0,TERM
0,-5,1,1,1,0.0,TERM
0,-4,0,0,0,0.0,TERM
0,-4,0,0,1,0.0,TERM
0,-4,0,1,0,0.0,TERM
0,-4,0,1,1,0.0,TERM
0,-4,1,0,0,0.0,TERM
0,-4,1,0,1,0.0,TERM
0,-4,1,1,0,0.0,TERM
0,-4,1,1,1,0.0,TERM
0,-3,0,0,0,0.0,TERM
0,-3,0,0,1,0.0,TERM
0,-3,0,1,0,0.0,TERM
0,-3,0,1,1,0.0,TERM
0,-3,1,0,0,0.0,TERM
0,-3,1,0,1,0.0,TERM
0,-3,1,1,0,0.0,TERM
0,-3,1,1,1,0.0,TERM
0,-2,0,0,0,0.0,TERM
0,-2,0,0,1,0.0,TERM
0,-2,0,1,0,0.0,TERM
0,-2,0,1,1,0.0,TERM
0,-2,1,0,0,0.0,TERM
0,-2,1,0,1,0.0,TERM
0,-2,1,1,0,0.0,TERM
0,-2,1,1,1,0.0,TERM
0,-1,0,0,0,0.0,TERM
0,-1,0,0,1,0.0,TERM
0,-1,0,1,0,0.0,TERM
0,-1,0,1,1,0.0,TERM
0,-1,1,0,0,0.0,TERM
0,-1,1,0,1,0.0,TERM
0,-1,1,1,0,0.0,TERM
0,-1,1,1,1,0.0,TERM
0,0,0,0,0,0.5,TERM
0,0,0,0,1,0.5,TERM
0,0,0,1,0,0.5,TERM
0,0,0,1,1,0.5,TERM
0,0,1,0,0,0.5,TERM
0,0,1,0,1,0.5,TERM
0,0,1,1,0,0.5,TERM
0,0,1,1,1,0.5,TERM
0,1,0,0,0,1.0,TERM
0,1,0,0,1,1.0,TERM
0,1,0,1,0,1.0,TERM
0,1,0,1,1,1.0,TERM
0,1,1,0,0,1.0,TERM
0,1,1,0,1,1.0,TERM
0,1,1,1,0,1.0,TERM
0,1,1,1,1,1.0,TERM
0,2,0,0,0,1.0,TERM
0,2,0,0,1,1.0,TERM
0,2,0,1,0,1.0,TERM
0,2,0,1,1,1.0,TERM
0,2,1,0,0,1.0,TERM
0,2,1,0,1,1.0,TERM
0,2,1,1,0,1.0,TERM
0,2,1,1,1,1.0,TERM
0,3,0,0,0,1.0,TERM
0,3,0,0,1,1.0,TERM
0,3,0,1,0,1.0,TERM
0,3,0,1,1,1.0,TERM
0,3,1,0,0,1.0,TERM
0,3,1,0,1,1.0,TERM
0,3,1,1,0,1.0,TERM
0,3,1,1,1,1.0,TERM
0,4,0,0,0,1.0,TERM
0,4,0,0,1,1.0,TERM
0,4,0,1,0,1.0,TERM
0,4,0,1,1,1.0,TERM
0,4,1,0,0,1.0,TERM
0,4,1,0,1,1.0,TERM
0,4,1,1,0,1.0,TERM
0,4,1,1,1,1.0,TERM
0,5,0,0,0,1.0,TERM
0,5,0,0,1,1.0,TERM
0,5,0,1,0,1.0,TERM
0,5,0,1,1,1.0,TERM
0,5,1,0,0,1.0,TERM
0,5,1,0,1,1.0,TERM
0,5,1,1,0,1.0,TERM
0,5,1,1,1,1.0,TERM
0,6,0,0,0,1.0,TERM
0,6,0,0,1,1.0,TERM
0,6,0,1,0,1.0,TERM
0,6,0,1,1,1.0,TERM
0,6,1,0,0,1.0,TERM
0,6,1,0,1,1.0,TERM
0,6,1,1,0,1.0,TERM
0,6,1,1,1,1.0,TERM
0,7,0,0,0,1.0,TERM
0,7,0,0,1,1.0,TERM
0,7,0,1,0,1.0,TERM
0,7,0,1,1,1.0,TERM
0,7,1,0,0,1.0,TERM
0,7,1,0,1,1.0,TERM
0,7,1,1,0,1.0,TERM
0,7,1,1,1,1.0,TERM
0,8,0,0,0,1.0,TERM
0,8,0,0,1,1.0,TERM
0,8,0,1,0,1.0,TERM
0,8,0,1,1,1.0,TERM
0,8,1,0,0,1.0,TERM
0,8,1,0,1,1.0,TERM
0,8,1,1,0,1.0,TERM
0,8,1,1,1,1.0,TERM
0,9,0,0,0,1.0,TERM
0,9,0,0,1,1.0,TERM
0,9,0,1,0,1.0,TERM
0,9,0,1,1,1.0,TERM
0,9,1,0,0,1.0,TERM
0,9,1,0,1,1.0,TERM
0,9,1,1,0,1.0,TERM
0,9,1,1,1,1.0,TERM
0,10,0,0,0,1.0,TERM
0,10,0,0,1,1.0,TERM
0,10,0,1,0,1.0,TERM
0,10,0,1,1,1.0,TERM
0,10,1,0,0,1.0,TERM
0,10,1,0,1,1.0,TERM
0,10,1,1,0,1.0,TERM
0,10,1,1,1,1.0,TERM
0,11,0,0,0,1.0,TERM
0,11,0,0,1,1.0,TERM
0,11,0,1,0,1.0,TERM
0,11,0,1,1,1.0,TERM
0,11,1,0,0,1.0,TERM
0,11,1,0,1,1.0,TERM
0,11,1,1,0,1.0,TERM
0,11,1,1,1,1.0,TERM
0,12,0,0,0,1.0,TERM
0,12,0,0,1,1.0,TERM
0,12,0,1,0,1.0,TERM
0,12,0,1,1,1.0,TERM
0,12,1,0,0,1.0,TERM
0,12,1,0,1,1.0,TERM
0,12,1,1,0,1.0,TERM
0,12,1,1,1,1.0,TERM
0,13,0,0,0,1.0,TERM
0,13,0,0,1,1.0,TERM
0,13,0,1,0,1.0,TERM
0,13,0,1,1,1.0,TERM
0,13,1,0,0,1.0,TERM
0,13,1,0,1,1.0,TERM
0,13,1,1,0,1.0,TERM
0,13,1,1,1,1.0,TERM
0,14,0,0,0,1.0,TERM
0,14,0,0,1,1.0,TERM
0,14,0,1,0,1.0,TERM
0,14,0,1,1,1.0,TERM
0,14,1,0,0,1.0,TERM
0,14,1,0,1,1.0,TERM
0,14,1,1,0,1.0,TERM
0,14,1,1,1,1.0,TERM
0,15,0,0,0,1.0,TERM
0,15,0,0,1,1.0,TERM
0,15,0,1,0,1.0,TERM
0,15,0,1,1,1.0,TERM
0,15,1,0,0,1.0,TERM
0,15,1,0,1,1.0,TERM
0,15,1,1,0,1.0,TERM
0,15,1,1,1,1.0,TERM
0,16,0,0,0,1.0,TERM
0,16,0,0,1,1.0,TERM
0,16,0,1,0,1.0,TERM
0,16,0,1,1,1.0,TERM
0,16,1,0,0,1.0,TERM
0,16,1,0,1,1.0,TERM
0,16,1,1,0,1.0,TERM
0,16,1,1,1,1.0,TERM
0,17,0,0,0,1.0,TERM
0,17,0,0,1,1.0,TERM
0,17,0,1,0,1.0,TERM
0,17,0,1,1,1.0,TERM
0,17,1,0,0,1.0,TERM
0,17,1,0,1,1.0,TERM
0,17,1,1,0,1.0,TERM
0,17,1,1,1,1.0,TERM
0,18,0,0,0,1.0,TERM
0,18,0,0,1,1.0,TERM
0,18,0,1,0,1.0,TERM
0,18,0,1,1,1.0,TERM
0,18,1,0,0,1.0,TERM
0,18,1,0,1,1.0,TERM
0,18,1,1,0,1.0,TERM
0,18,1,1,1,1.0,TERM
0,19,0,0,0,1.0,TERM
0,19,0,0,1,1.0,TERM
0,19,0,1,0,1.0,TERM
0,19,0,1,1,1.0,TERM
0,19,1,0,0,1.0,TERM
0,19,1,0,1,1.0,TERM
0,19,1,1,0,1.0,TERM
0,19,1,1,1,1.0,TERM
0,20,0,0,0,1.0,TERM
0,20,0,0,1,1.0,TERM
0,20,0,1,0,1.0,TERM
0,20,0,1,1,1.0,TERM
0,20,1,0,0,1.0,TERM
0,20,1,0,1,1.0,TERM
0,20,1,1,0,1.0,TERM
0,20,1,1,1,1.0,TERM
0,21,0,0,0,1.0,TERM
0,21,0,0,1,1.0,TERM
0,21,0,1,0,1.0,TERM
0,21,0,1,1,1.0,TERM
0,21,1,0,0,1.0,TERM
0,21,1,0,1,1.0,TERM
0,21,1,1,0,1.0,TERM
0,21,1,1,1,1.0,TERM
0,22,0,0,0,1.0,TERM
0,22,0,0,1,1.0,TERM
0,22,0,1,0,1.0,TERM
0,22,0,1,1,1.0,TERM
0,22,1,0,0,1.0,TERM
0,22,1,0,1,1.0,TERM
0,22,1,1,0,1.0,TERM
0,22,1,1,1,1.0,TERM
0,23,0,0,0,1.0,TERM
0,23,0,0,1,1.0,TERM
0,23,0,1,0,1.0,TERM
0,23,0,1,1,1.0,TERM
0,23,1,0,0,1.0,TERM
0,23,1,0,1,1.0,TERM
0,23,1,1,0,1.0,TERM
0,23,1,1,1,1.0,TERM
0,24,0,0,0,1.0,TERM
0,24,0,0,1,1.0,TERM
0,24,0,1,0,1.0,TERM
0,24,0,1,1,1.0,TERM
0,24,1,0,0,1.0,TERM
0,24,1,0,1,1.0,TERM
0,24,1,1,0,1.0,TERM
0,24,1,1,1,1.0,TERM
0,25,0,0,0,1.0,TERM
0,25,0,0,1,1.0,TERM
0,25,0,1,0,1.0,TERM
0,25,0,1,1,1.0,TERM
0,25,1,0,0,1.0,TERM
0,25,1,0,1,1.0,TERM
0,25,1,1,0,1.0,TERM
0,25,1,1,1,1.0,TERM
0,26,0,0,0,1.0,TERM
0,26,0,0,1,1.0,TERM
0,26,0,1,0,1.0,TERM
0,26,0,1,1,1.0,TERM
0,26,1,0,0,1.0,TERM
0,26,1,0,1,1.0,TERM
0,26,1,1,0,1.0,TERM
0,26,1,1,1,1.0,TERM
0,27,0,0,0,1.0,TERM
0,27,0,0,1,1.0,TERM
0,27,0,1,0,1.0,TERM
0,27,0,1,1,1.0,TERM
0,27,1,0,0,1.0,TERM
0,27,1,0,1,1.0,TERM
0,27,1,1,0,1.0,TERM
0,27,1,1,1,1.0,TERM
0,28,0,0,0,1.0,TERM
0,28,0,0,1,1.0,TERM
0,28,0,1,0,1.0,TERM
0,28,0,1,1,1.0,TERM
0,28,1,0,0,1.0,TERM
0,28,1,0,1,1.0,TERM
0,28,1,1,0,1.0,TERM
0,28,1,1,1,1.0,TERM
0,29,0,0,0,1.0,TERM
0,29,0,0,1,1.0,TERM
0,29,0,1,0,1.0,TERM
0,29,0,1,1,1.0,TERM
0,29,1,0,0,1.0,TERM
0,29,1,0,1,1.0,TERM
0,29,1,1,0,1.0,TERM
0,29,1,1,1,1.0,TERM
0,30,0,0,0,1.0,TERM
0,30,0,0,1,1.0,TERM
0,30,0,1,0,1.0,TERM
0,30,0,1,1,1.0,TERM
0,30,1,0,0,1.0,TERM
0,30,1,0,1,1.0,TERM
0,30,1,1,0,1.0,TERM
0,30,1,1,1,1.0,TERM
0,31,0,0,0,1.0,TERM
0,31,0,0,1,1.0,TERM
0,31,0,1,0,1.0,TERM
0,31,0,1,1,1.0,TERM
0,31,1,0,0,1.0,TERM
0,31,1,0,1,1.0,TERM
0,31,1,1,0,1.0,TERM
0,31,1,1,1,1.0,TERM
0,32,0,0,0,1.0,TERM
0,32,0,0,1,1.0,TERM
0,32,0,1,0,1.0,TERM
0,32,0,1,1,1.0,TERM
0,32,1,0,0,1.0,TERM
0,32,1,0,1,1.0,TERM
0,32,1,1,0,1.0,TERM
0,32,1,1,1,1.0,TERM
0,33,0,0,0,1.0,TERM
0,33,0,0,1,1.0,TERM
0,33,0,1,0,1.0,TERM
0,33,0,1,1,1.0,TERM
0,33,1,0,0,1.0,TERM
0,33,1,0,1,1.0,TERM
0,33,1,1,0,1.0,TERM
0,33,1,1,1,1.0,TERM
0,34,0,0,0,1.0,TERM
0,34,0,0,1,1.0,TERM
0,34,0,1,0,1.0,TERM
0,34,0,1,1,1.0,TERM
0,34,1,0,0,1.0,TERM
0,34,1,0,1,1.0,TERM
0,34,1,1,0,1.0,TERM
0,34,1,1,1,1.0,TERM
0,35,0,0,0,1.0,TERM
0,35,0,0,1,1.0,TERM
0,35,0,1,0,1.0,TERM
0,35,0,1,1,1.0,TERM
0,35,1,0,0,1.0,TERM
0,35,1,0,1,1.0,TERM
0,35,1,1,0,1.0,TERM
0,35,1,1,1,1.0,TERM
0,36,0,0,0,1.0,TERM
0,36,0,0,1,1.0,TERM
0,36,0,1,0,1.0,TERM
0,36,0,1,1,1.0,TERM
0,36,1,0,0,1.0,TERM
0,36,1,0,1,1.0,TERM
0,36,1,1,0,1.0,TERM
0,36,1,1,1,1.0,TERM
0,37,0,0,0,1.0,TERM
0,37,0,0,1,1.0,TERM
0,37,0,1,0,1.0,TERM
0,37,0,1,1,1.0,TERM
0,37,1,0,0,1.0,TERM
0,37,1,0,1,1.0,TERM
0,37,1,1,0,1.0,TERM
0,37,1,1,1,1.0,TERM
0,38,0,0,0,1.0,TERM
0,38,0,0,1,1.0,TERM
0,38,0,1,0,1.0,TERM
0,38,0,1,1,1.0,TERM
0,38,1,0,0,1.0,TERM
0,38,1,0,1,1.0,TERM
0,38,1,1,0,1.0,TERM
0,38,1,1,1,1.0,TERM
0,39,0,0,0,1.0,TERM
0,39,0,0,1,1.0,TERM
0,39,0,1,0,1.0,TERM
0,39,0,1,1,1.0,TERM
0,39,1,0,0,1.0,TERM
0,39,1,0,1,1.0,TERM
0,39,1,1,0,1.0,TERM
0,39,1,1,1,1.0,TERM
0,40,0,0,0,1.0,TERM
0,40,0,0,1,1.0,TERM
0,40,0,1,0,1.0,TERM
0,40,0,1,1,1.0,TERM
0,40,1,0,0,1.0,TERM
0,40,1,0,1,1.0,TERM
0,40,1,1,0,1.0,TERM
0,40,1,1,1,1.0,TERM
0,41,0,0,0,1.0,TERM
0,41,0,0,1,1.0,TERM
0,41,0,1,0,1.0,TERM
0,41,0,1,1,1.0,TERM
0,41,1,0,0,1.0,TERM
0,41,1,0,1,1.0,TERM
0,41,1,1,0,1.0,TERM
0,41,1,1,1,1.0,TERM
0,42,0,0,0,1.0,TERM
0,42,0,0,1,1.0,TERM
0,42,0,1,0,1.0,TERM
0,42,0,1,1,1.0,TERM
0,42,1,0,0,1.0,TERM
0,42,1,0,1,1.0,TERM
0,42,1,1,0,1.0,TERM
0,42,1,1,1,1.0,TERM
0,43,0,0,0,1.0,TERM
0,43,0,0,1,1.0,TERM
0,43,0,1,0,1.0,TERM
0,43,0,1,1,1.0,TERM
0,43,1,0,0,1.0,TERM
0,43,1,0,1,1.0,TERM
0,43,1,1,0,1.0,TERM
0,43,1,1,1,1.0,TERM
0,44,0,0,0,1.0,TERM
0,44,0,0,1,1.0,TERM
0,44,0,1,0,1.0,TERM
0,44,0,1,1,1.0,TERM
0,44,1,0,0,1.0,TERM
0,44,1,0,1,1.0,TERM
0,44,1,1,0,1.0,TERM
0,44,1,1,1,1.0,TERM
0,45,0,0,0,1.0,TERM
0,45,0,0,1,1.0,TERM
0,45,0,1,0,1.0,TERM
0,45,0,1,1,1.0,TERM
0,45,1,0,0,1.0,TERM
0,45,1,0,1,1.0,TERM
0,45,1,1,0,1.0,TERM
0,45,1,1,1,1.0,TERM
0,46,0,0,0,1.0,TERM
